,adress,Latitude,Longitude,
,"обл. Псковская, г. Псков, пер. 1-й Хлебной Горки, д. 6",57.8237984,28.3522463,1958
,"обл. Псковская, г. Псков, пер. 1-й Хлебной Горки, д. 9",57.82414499999999,28.3511412,1958
,"обл. Псковская, г. Псков, ул. 1-я Поселочная, д. 2/5",57.7966071,28.3449796,1947
,"обл. Псковская, г. Псков, ул. 1-я Поселочная, д. 4",57.7968211,28.3459913,1940
,"обл. Псковская, г. Псков, ул. 1-я Поселочная, д. 8",57.7971284,28.3472001,1959
,"обл. Псковская, г. Псков, ул. 1-я Поселочная, д. 12",57.797406,28.3485859,1960
,"обл. Псковская, г. Псков, ул. 1-я Поселочная, д. 13",57.7962239,28.3468433,1989
,"обл. Псковская, г. Псков, ул. 1-я Поселочная, д. 14",57.7975103,28.349071,1960
,"обл. Псковская, г. Псков, ул. 23 Июля, д. 3",57.8028026,28.3572805,1968
,"обл. Псковская, г. Псков, ул. 23 Июля, д. 5",57.802366,28.3554891,1966
,"обл. Псковская, г. Псков, ул. 23 Июля, д. 6",57.80293390000001,28.3514188,1972
,"обл. Псковская, г. Псков, ул. 23 Июля, д. 7",57.802929,28.3554542,1966
,"обл. Псковская, г. Псков, ул. 23 Июля, д. 8",57.8029722,28.3507953,1964
,"обл. Псковская, г. Псков, ул. 23 Июля, д. 10",57.80313449999999,28.350128,1969
,"обл. Псковская, г. Псков, ул. 2-я Песочная, д. 67",57.79038540000001,28.3536018,1958
,"обл. Псковская, г. Псков, ул. 2-я Песочная, д. 71",57.78979209999999,28.3534235,1958
,"обл. Псковская, г. Псков, ул. 2-я Полковая, д. 13",57.80522310000001,28.3235051,1949
,"обл. Псковская, г. Псков, пер. 5-й Псковстроя, д. 5",57.8262844,28.3998825,1965
,"обл. Псковская, г. Псков, пер. 5-й Псковстроя, д. 7",57.8264909,28.3995946,1967
,"обл. Псковская, г. Псков, пер. 5-й Псковстроя, д. 11",57.8270806,28.3988266,1967
,"обл. Псковская, г. Псков, ул. Александра Невского, д. 1",57.82843,28.324192,1975
,"обл. Псковская, г. Псков, ул. Александра Невского, д. 3",57.82915639999999,28.3265673,1971
,"обл. Псковская, г. Псков, ул. Алексея Алехина, д. 1",57.83649819999999,28.288405,1978
,"обл. Псковская, г. Псков, ул. Алексея Алехина, д. 2",57.8370793,28.2899431,1973
,"обл. Псковская, г. Псков, ул. Алексея Алехина, д. 4",57.837768,28.2915961,1992
,"обл. Псковская, г. Псков, ул. Алексея Алехина, д. 5",57.836926,28.2917222,1973
,"обл. Псковская, г. Псков, ул. Алексея Алехина, д. 6",57.838497,28.291383,1987
,"обл. Псковская, г. Псков, ул. Алексея Алехина, д. 8",57.8384567,28.2903578,1979
,"обл. Псковская, г. Псков, ул. Алексея Алехина, д. 10",57.83869,28.2901744,1985
,"обл. Псковская, г. Псков, ул. Алексея Алехина, д. 12",57.83961799999999,28.2896881,1989
,"обл. Псковская, г. Псков, ул. Алексея Алехина, д. 14",57.83881999999999,28.2945803,2021
